EmpID,EmpName,EmpSalary
21,Renee Hughes,6045
22,Curtis Batun,6144
23,Barbara Wilson,7646
24,Monte Wattles,6210
25,Catherine Troutman,6308
26,Willie Novotny,7378
27,Paula Owen,6096
28,Leif Chew,5611
29,Kathleen Zelechowski,5850
210,Gene Radcliffe,7399
211,Suzanna Bunch,5758
212,Alexis Ballard,7728
213,Irene Zachary,6507
214,Harry Facer,7648
215,Erin Fields,6942
216,Eric Mcilwain,6081
217,Mary Crouch,5791
218,Bill Burditt,6394
219,Elizabeth Gally,6846
220,Sheldon Weiler,6421
221,Harriet Brunswick,7276
222,Robert Vargo,5830
223,Laurie Hayes,6735
224,Larry Lamb,6068
225,Amy Sam,5907
226,Michael Vazquez,6695
227,Sandy Lovell,7769
228,Howard Nelson,7139
229,Marisa Decker,7445
230,Graham Gunter,5791
231,Joyce Ortego,6306
232,Gerald Harper,6743
233,Sommer Pfundt,6296
234,Harry Bradburn,5585
235,Cindy Childers,5905
236,Willie Okeefe,6956
237,Mayra Aaron,6348
238,Michael Richters,6329
239,Rebecca Burroughs,7334
240,Paul Keck,5674
241,Lyla Davenport,7079
242,William Martinez,6387
243,Victoria Gillilan,5644
244,Donald Dunn,7682
245,Ida Daniels,6398
246,Charles Strohl,6142
247,Kathryn Elder,7037
248,Casey Esparza,6968
249,Aleida Wilson,7461
250,Ricky Branam,7538
251,Mildred Ashley,6548
252,Martin Lira,6617
253,Louise Smith,5828
254,Adam Laflore,6116
255,Pamela Nelson,7245
256,Zachary Mcmahon,7552
257,Carla Kozak,7260
258,Ross Fry,7286
259,Rose Ostrom,7446
260,Bryan Nix,7390
261,Karyn Park,7365
262,Jamie Rodriguez,6711
263,Carol Hanson,6462
264,Charles Mcmillen,5612
265,Bridget Shank,5677
266,Carlos Ripley,5982
267,Vertie Lee,6902
268,Edward Smith,6365
269,Wanda Segura,7317
270,Jeffry Burley,5874
271,Tina Parks,6079
272,Richard Vanvliet,7595
273,Mona Cooper,6049
274,Michael Stillwagon,7723
275,Dena Johns,6340
276,Christopher Hartshorn,7455
277,Debra Kennedy,6879
278,Edwin Hulsey,7242
279,Darlene Solano,7750
280,Alexander Guiney,7372
281,Portia Henslee,6025
282,Doug Henriques,7114
283,Pamela Tolin,7131
284,Charles Keller,7151
285,April Roberts,7304
286,David Ervin,7000
287,Benita Scalise,6187
288,Darin Wymore,5744
289,Frances Figueroa,5851
290,Brandon Carr,7469
291,Loretta Lawrence,7117
292,Jose Simkins,5677
293,Kelsey Kirkley,6499
294,Steven Potter,5892
295,Norma Gonzales,6874
296,Gary Philhower,6684
297,Danielle Wiggins,6755
298,Paul Morrison,7323
299,Josephine Glover,5624
2100,Stephen Melton,7373
