EmpID,EmpName,EmpSalary
71,Lanie Townson,5615
72,Jerry Cote,7003
73,Tomasa Denmon,6754
74,Woodrow Hood,6019
75,Alta Wyble,6418
76,Arnold Gibson,6899
77,Janet Disque,6348
78,Clyde Buckles,5913
79,Elizabet Peterson,7581
710,Byron Walker,7157
711,Rebecca Thomas,7075
712,Eric Gray,7304
713,Gertrude Hicks,7476
714,Everett Eddins,5958
715,Carol Marshall,7199
716,Scott Barnard,6778
717,Sammie Chang,6431
718,Bryan Keithly,5657
719,Ester Gonzales,7580
720,James Hovermale,6088
721,Felicia Soper,6632
722,Jose Dickens,7062
723,Eve Cleavenger,6565
724,Francisco Pierce,7388
725,Valerie New,7581
726,Ronald Smith,6779
727,Lucia Goon,6653
728,Ray Pickles,7397
729,Dessie Myers,7240
730,Jerry Wilson,7754
731,Marie Cooper,5811
732,Dan Hsu,7541
733,Catherine Kaywood,6782
734,Brian Kisler,6339
735,Rhonda Posey,6193
736,Derek Norwood,7219
737,Caroline Ewen,5577
738,Ellis Wallace,6920
739,Rose Taylor,6439
740,Lee Hand,6214
741,Sybil Stewart,6222
742,David Powers,7675
743,Yolonda Ourada,7375
744,Kevin Whitcomb,6487
745,Shirley Barron,7307
746,Kendall Veenstra,5870
747,Karen Herrera,6016
748,Clayton Taylor,7682
749,Cynthia Paladino,7095
750,Andrew Mayall,6750
751,Rita Henrie,7552
752,Roscoe Barrera,6627
753,Ethel Mcvey,7761
754,Martin Kinsey,6929
755,Mary Gallagher,5924
756,Carmen Ludwig,7034
757,Laura Henson,5853
758,John Wingert,6832
759,Gloria Graig,6647
760,Jay Collins,6219
761,Judy Knight,6755
762,James Maedche,7299
763,Karen Bryer,7222
764,Jim Brooks,7007
765,Barbara Rick,6823
766,Allen Gallardo,7190
767,Mandy Connors,7376
768,Ronnie Edwards,7651
769,Stephanie Kendall,7082
770,Edward Denton,7382
771,Shari Smith,6352
772,Adam Scruggs,6310
773,Mary Knight,7256
774,Jose Cooley,7318
775,Katherine Berube,6210
776,Pablo Pruitt,6621
777,Mary Crandell,6548
778,Sergio Pratt,7000
779,Constance Wassermann,6178
780,Michael Wilson,7253
781,Jill Givens,6083
782,Gregory Sutton,6621
783,Dawn Quillen,6494
784,Vernon Ratliff,7503
785,Sherry Farmer,6696
786,Brian Haag,5932
787,Tonya Lautman,7227
788,James Mooney,5724
789,Lori Whitecotton,6596
790,Raymond Reynolds,6162
791,Gillian Deleon,6684
792,Oscar Hall,6846
793,Susan Cintron,6555
794,Darrell Nguyen,5879
795,Bonnie Duke,6801
796,Kenneth Ober,7022
797,Elisabeth Taylor,6868
798,Nelson Potter,5973
799,Ethel Herring,6688
7100,Cornell Pinkston,6836
