EmpID,EmpName,EmpSalary
251,Victoria Georgi,6010
252,Jose Aplin,7695
253,Rita Shearer,7209
254,Rodney Wheatley,6337
255,Mae Dixon,7716
256,Ray Mckeown,6779
257,Dana Oland,6691
258,Clarence Herrera,5950
259,Kimberly Miller,7023
2510,Luis Wade,6675
2511,Nellie Gonzalez,5677
2512,Daniel Cathey,6856
2513,Anne Peterson,7685
2514,Glen Couzens,7033
2515,Loretta Haywood,7267
2516,Colby Garth,7358
2517,Peggy Hegarty,7525
2518,Charles Conwell,6614
2519,Doris Buziak,6360
2520,Philip Forte,6899
2521,Katherine Harpster,7326
2522,Edwin Ramey,7559
2523,Amy Dixon,5754
2524,Christopher Gonzalez,5633
2525,Elaine Rowland,6613
2526,James Reeder,5830
2527,Danica Vangundy,6478
2528,Edward Chisolm,5973
2529,Martha Hayes,5996
2530,Thomas Phillips,6493
2531,Margaret Holmes,6007
2532,Marvin Harris,7425
2533,Sandra Jenkins,7311
2534,Edmond Pierce,7495
2535,Krista Cerda,6079
2536,Jessie Magnuson,6916
2537,Diane Haney,6135
2538,Howard Hall,6620
2539,Debra Weiner,6475
2540,Joshua Buchanan,6226
2541,Kristin Hood,5796
2542,Bill Niles,7626
2543,Gail Howard,7046
2544,Peter Diberardino,6948
2545,Clara Worsham,5593
2546,Alvin Johnson,7566
2547,Sarah Stringfellow,5718
2548,Christopher Lowrey,7272
2549,Jennifer Towry,6384
2550,Lynn Andersen,7727
2551,Mary Laine,7076
2552,Joseph Mccarter,6358
2553,Deborah Biggs,7318
2554,Eddie Satterfield,7315
2555,Billie Fox,7131
2556,William Walls,7418
2557,Phyllis Calvin,6583
2558,Larry Forrester,6803
2559,Thelma Leary,6370
2560,Henry Grable,6093
2561,Janet Cooke,5961
2562,Ronald Frye,6350
2563,Marian Graves,6923
2564,Dennis Snyder,7681
2565,Hattie Skinner,7681
2566,Harold Vargas,7022
2567,Alberta Griffin,6647
2568,Patrick Glover,5804
2569,Virginia Anderson,6303
2570,Sherman Hodge,7304
2571,Carol Rosengren,7556
2572,Carlos Blanchard,7470
2573,Paige Steiner,5735
2574,Floyd Birkline,7540
2575,Jessica Gray,7052
2576,Billy Glover,6428
2577,Linda Simmons,5590
2578,James Nicol,7591
2579,Betty Kemmerer,7701
2580,Alan Sleiman,7680
2581,Marcia Sherwood,7359
2582,Michael Roundtree,7708
2583,Regina Merryman,7434
2584,Jorge Torres,6344
2585,Cheryl Richards,6678
2586,Alex Fowler,6290
2587,Karry Dean,6634
2588,Cody Herr,6607
2589,Heather Hyer,5812
2590,Samuel Gerhardt,6095
2591,Jane Appleby,6953
2592,Kevin Quinn,6467
2593,Marcia Dunn,6500
2594,Gordon Perales,6934
2595,Flora Brown,7524
2596,Jarrett Lasater,7549
2597,Jody Molina,6236
2598,Herman Nickels,7339
2599,Christine Schuh,7595
25100,Michael Urban,6092
