EmpID,EmpName,EmpSalary
11,Jessica Mcdaniel,6236
12,Mark Hagen,7537
13,Janie Scott,6287
14,Matthew Babin,7174
15,Norma Whitten,5954
16,John Calkins,6165
17,Edna Reynolds,5995
18,Melvin Perdue,7330
19,Madge Lowell,6140
110,Bill Mcvay,6670
111,Malinda Morales,6425
112,Wiley Edmunds,6502
113,Lucy Stephens,7279
114,Kevin Birks,6923
115,Leona Kountz,7259
116,Michael Moon,6646
117,Lorraine Heard,6365
118,Nicholas Kilmer,7459
119,Denise Tucker,7270
120,Leroy Rowles,6208
121,Paula White,7106
122,John Kanter,6540
123,Colleen Pope,7093
124,Christopher Stevenson,7249
125,Heather Mccurdy,6357
126,Nathan Brown,6486
127,Marie Grazier,6540
128,Ralph Stewart,6748
129,Karen Seda,5727
130,Jason Mills,5769
131,Stephanie Kowalski,5710
132,Johnny Graham,7323
133,Roberta Hoye,7062
134,George Rose,5901
135,Connie Walter,7287
136,Alvin Acosta,6396
137,Roxane Miller,6103
138,Ryan Hall,6543
139,Shiela Adams,7114
140,Bob Spellacy,7142
141,Dorothy Castro,6811
142,Bill Clearwater,6449
143,Diane Jones,7503
144,Jamel Welsh,6502
145,Jenifer Webb,5698
146,Garrett Soto,7461
147,Barbara Thompson,6319
148,Frank Gilcrease,7354
149,Victoria Waggoner,7066
150,Harold Pollard,7741
151,Felicia Diorio,7042
152,Julio Shilt,5827
153,Catherine Burns,6828
154,John Kurth,6920
155,Jenny Moore,7291
156,Michael Melara,6413
157,Geri Johnson,5963
158,Matthew Hafley,7662
159,Sarah Lovell,5679
160,Eugene Broach,7482
161,Ellen Hinson,7036
162,Drew Ferguson,6130
163,Evelyn Irizarry,6952
164,Paul Odell,5568
165,Melissa Sacco,7725
166,Eugene Tongate,6581
167,Emma Corona,6099
168,David Fisher,6413
169,Lois Christiansen,7082
170,Paul Corbitt,6671
171,Brenda Bailey,6359
172,Jon Lang,7034
173,Peggy Johnson,7688
174,Jeffrey Clay,6503
175,James Madden,5562
176,Carl Prather,6645
177,Carla Williams,6993
178,Clarence Vega,6934
179,Thelma Ferguson,6128
180,Gayle Fox,7318
181,Thea Depue,5736
182,Kenneth Clay,5722
183,Susan Hendrix,6326
184,James Ferreira,5899
185,Cheryl Mccord,7616
186,Francisco Bridges,6044
187,Jennifer Rector,5759
188,Guadalupe Hill,6159
189,Debra Mercer,5954
190,Phillip Geller,6265
191,Natasha Henry,6816
192,Curtis Whetstone,6073
193,Judith Cunningham,7075
194,Wesley Harshman,7659
195,Jill Manning,6199
196,Douglas Cantu,6336
197,Marla Gaffigan,7153
198,Dennis Gordon,7402
199,Gretchen Gonzalez,6932
1100,Patrick Bell,5702
