EmpID,EmpName,EmpSalary
181,Mary Marr,5834
182,Earl Tornatore,7317
183,Delores Hubbard,6807
184,Stephen Gambill,6307
185,Carrie Sexton,6431
186,Michael Holland,5814
187,Amy Langley,5643
188,Dale Sanpedro,5627
189,Fannie Harkins,6960
1810,Chris Vandyke,5721
1811,Evelyn Walker,6954
1812,Sol Bessler,7408
1813,Whitney Greene,7739
1814,Robert Kuntz,6997
1815,Carolyn Okane,6525
1816,William Negron,7205
1817,Christina Vaughan,6990
1818,Robert Castillo,6697
1819,Virginia Ghosh,7247
1820,William Hicks,7162
1821,Cathleen Leutwiler,7613
1822,Jonathan Amos,6031
1823,Olive Sanchez,7179
1824,Jerry Rorick,6636
1825,Margaret Haygood,5778
1826,Fred Cathey,6200
1827,Mozelle Corder,6387
1828,Robert Salyards,6706
1829,Ruth Slaughter,7033
1830,Alvin Beasley,5996
1831,Isabel Jones,7224
1832,Roger Lam,6437
1833,Lettie Bowman,6513
1834,Gary Lopez,7332
1835,Han Thomas,6874
1836,Daniel Thiel,5613
1837,Florence Rojas,6834
1838,Marshall Bale,5683
1839,Esther Ferguson,6951
1840,Joseph Gardner,6334
1841,Mabel Tackitt,7043
1842,Floyd Weaver,6421
1843,Mabel Venice,6813
1844,Larry Hattaway,6737
1845,Regina Fairbanks,7230
1846,Raymond Easley,6546
1847,Rita Cloutier,6037
1848,Quentin Jara,6337
1849,Carol Taylor,7715
1850,Paul Strong,7359
1851,Sierra Kennedy,5987
1852,Carl Johnson,7202
1853,Antonia Clapp,5948
1854,George Walker,6274
1855,Monica Blow,6935
1856,Randy Locke,5759
1857,Helen Clayton,6718
1858,Bruce Hodgkins,7406
1859,Megan Jenkins,6727
1860,William Toribio,7553
1861,Josie Dorn,6897
1862,Richard Arispe,7219
1863,Janet Myers,7689
1864,Tyler Woods,7060
1865,Kristy Miranda,6137
1866,Jeremy Tillett,6801
1867,Ana Jones,5606
1868,Reynaldo Miranda,5978
1869,Shirley Reither,6790
1870,Samuel Ramirez,5710
1871,Lynsey Gunderson,7724
1872,Chad Mailes,7511
1873,Jan Hillier,6113
1874,Miguel Lisowski,6571
1875,Dolores Carson,6279
1876,David Napolitano,6094
1877,Jacqueline Formella,6232
1878,Derek Upton,7731
1879,Alisa Woods,6700
1880,David Rand,6168
1881,Mary Wyatt,6717
1882,James Johnson,6656
1883,Mary Glover,5707
1884,Chester Barrera,6344
1885,Elaine Strickler,6833
1886,Robert Treadwell,7339
1887,Wanda Doherty,7609
1888,Wayne Johnson,7065
1889,Christy Haywood,6843
1890,William Martinez,5975
1891,Teresa Baldwin,7000
1892,Raymond Pelton,6560
1893,Leah Keys,7423
1894,Hubert Arrington,7104
1895,Carolyn Manrriquez,6277
1896,Bobby Miller,6189
1897,Sharon Castle,6234
1898,Byron Shulz,6685
1899,Alice Rhim,7162
18100,James Neal,7562
